,Province_State,Date,Confirmed_Cases
747,Vermont,2020-02-03,0
748,Virgin Islands,2020-02-03,0
749,Virginia,2020-02-03,0
750,Washington,2020-02-03,1
751,West Virginia,2020-02-03,0
752,Wisconsin,2020-02-03,0
753,Wyoming,2020-02-03,0
754,Alabama,2020-02-04,0
755,Alaska,2020-02-04,0
756,American Samoa,2020-02-04,0
757,Arizona,2020-02-04,1
758,Arkansas,2020-02-04,0
759,California,2020-02-04,6
760,Colorado,2020-02-04,0
761,Connecticut,2020-02-04,0
762,Delaware,2020-02-04,0
763,Diamond Princess,2020-02-04,0
764,District of Columbia,2020-02-04,0
765,Florida,2020-02-04,0
766,Georgia,2020-02-04,0
767,Grand Princess,2020-02-04,0
768,Guam,2020-02-04,0
769,Hawaii,2020-02-04,0
770,Idaho,2020-02-04,0
771,Illinois,2020-02-04,2
772,Indiana,2020-02-04,0
773,Iowa,2020-02-04,0
774,Kansas,2020-02-04,0
775,Kentucky,2020-02-04,0
776,Louisiana,2020-02-04,0
777,Maine,2020-02-04,0
778,Maryland,2020-02-04,0
779,Massachusetts,2020-02-04,1
780,Michigan,2020-02-04,0
781,Minnesota,2020-02-04,0
782,Mississippi,2020-02-04,0
783,Missouri,2020-02-04,0
784,Montana,2020-02-04,0
785,Nebraska,2020-02-04,0
786,Nevada,2020-02-04,0
787,New Hampshire,2020-02-04,0
788,New Jersey,2020-02-04,0
789,New Mexico,2020-02-04,0
790,New York,2020-02-04,0
791,North Carolina,2020-02-04,0
792,North Dakota,2020-02-04,0
793,Northern Mariana Islands,2020-02-04,0
794,Ohio,2020-02-04,0
795,Oklahoma,2020-02-04,0
796,Oregon,2020-02-04,0
797,Pennsylvania,2020-02-04,0
798,Puerto Rico,2020-02-04,0
799,Rhode Island,2020-02-04,0
800,South Carolina,2020-02-04,0
801,South Dakota,2020-02-04,0
802,Tennessee,2020-02-04,0
803,Texas,2020-02-04,0
804,Utah,2020-02-04,0
805,Vermont,2020-02-04,0
806,Virgin Islands,2020-02-04,0
807,Virginia,2020-02-04,0
808,Washington,2020-02-04,1
809,West Virginia,2020-02-04,0
810,Wisconsin,2020-02-04,0
811,Wyoming,2020-02-04,0
812,Alabama,2020-02-05,0
813,Alaska,2020-02-05,0
814,American Samoa,2020-02-05,0
815,Arizona,2020-02-05,1
816,Arkansas,2020-02-05,0
817,California,2020-02-05,6
818,Colorado,2020-02-05,0
819,Connecticut,2020-02-05,0
820,Delaware,2020-02-05,0
821,Diamond Princess,2020-02-05,0
822,District of Columbia,2020-02-05,0
823,Florida,2020-02-05,0
824,Georgia,2020-02-05,0
825,Grand Princess,2020-02-05,0
826,Guam,2020-02-05,0
827,Hawaii,2020-02-05,0
828,Idaho,2020-02-05,0
829,Illinois,2020-02-05,2
830,Indiana,2020-02-05,0
831,Iowa,2020-02-05,0
832,Kansas,2020-02-05,0
833,Kentucky,2020-02-05,0
834,Louisiana,2020-02-05,0
